article,question,question_chars,question_words
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤ä╨╛╨╜╨┤╨╛╨▓╤ï╨╕╠å ╤Ç╤ï╨╜╨╛╨║,**Что такое дискретный аукцион и зачем он нужен?**,50,8
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┐╨╛╤Ç╤â╤ç╨╡╨╜╨╕╨╡ ╨╜╨░ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╕╠å ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤,**Как правильно заполнить поручение на депозитарный перевод ценных бумаг в Т‑Банк?**,84,11
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┐╨╛╤Ç╤â╤ç╨╡╨╜╨╕╨╡ ╨╜╨░ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╕╠å ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤,**Какие документы понадобятся для учета бумаг при депозитарном переводе в Т‑Банк?**,83,11
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┐╨╛╤Ç╤â╤ç╨╡╨╜╨╕╨╡ ╨╜╨░ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╕╠å ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤,**Как временно обособить российские бумаги после депозитарного перевода в Т‑Банк?**,83,10
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┐╨╛╤Ç╤â╤ç╨╡╨╜╨╕╨╡ ╨╜╨░ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╕╠å ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤,**Какие бумаги можно наследовать после депозитарного перевода в Т‑Банк?**,73,9
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┐╨╛╤Ç╤â╤ç╨╡╨╜╨╕╨╡ ╨╜╨░ ╨┤╨╡╨┐╨╛╨╖╨╕╤é╨░╤Ç╨╜╤ï╨╕╠å ╨┐╨╡╤Ç╨╡╨▓╨╛╨┤,"**Какие шаги нужно предпринять, если требуется перевести бумаги в Т‑Инвестиции?**",81,10
╨ƒ╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,**Какие категории клиентов могут участвовать в подарочных акциях Т‑Банка?**,75,9
╨ƒ╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,**Какие продукты и услуги Т‑Банка участвуют в подарочных акциях?**,66,9
╨ƒ╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,**Как можно получить виртуальные подарочные акции в Т‑Инвестициях?**,68,8
╨ƒ╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,**Можно ли одновременно участвовать в акциях «Приведи друга» и «Учись за подарки»?**,84,12
╨ƒ╨╛╨┤╨░╤Ç╨╛╤ç╨╜╤ï╨╡ ╨░╨║╤å╨╕╨╕,"**Что нужно сделать, чтобы получить подарочную акцию за приглашение друга в Т‑Инвестиции?**",91,12
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗,**Как скачать терминал Т⁠-⁠Инвестиций на компьютер?**,53,6
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗,**Как выглядит верхняя панель терминала?**,42,5
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗,**Как считается доходность в терминале?**,41,5
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜ ╤é╨╡╤Ç╨╝╨╕╨╜╨░╨╗,**Какие инструменты доступны в верхней панели терминала?**,58,7
╨ñ╨╛╤Ç╨╝╨░ WΓÇæ8BEN ╨╕ ╨┤╨╗╤Å ╤ç╨╡╨│╨╛ ╨╛╨╜╨░ ╨╜╤â╨╢╨╜╨░,Что такое форма W-8BEN и для чего она используется?,51,9
╨ñ╨╛╤Ç╨╝╨░ WΓÇæ8BEN ╨╕ ╨┤╨╗╤Å ╤ç╨╡╨│╨╛ ╨╛╨╜╨░ ╨╜╤â╨╢╨╜╨░,Как W-8BEN работала раньше?,27,4
╨ñ╨╛╤Ç╨╝╨░ WΓÇæ8BEN ╨╕ ╨┤╨╗╤Å ╤ç╨╡╨│╨╛ ╨╛╨╜╨░ ╨╜╤â╨╢╨╜╨░,Как сейчас работает форма W-8BEN?,33,5
╨ñ╨╛╤Ç╨╝╨░ WΓÇæ8BEN ╨╕ ╨┤╨╗╤Å ╤ç╨╡╨│╨╛ ╨╛╨╜╨░ ╨╜╤â╨╢╨╜╨░,Каким налогом облагаются дивиденды по американским ценным бумагам?,66,8
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╨┤╤Ç╨░╨│╨╛╤å╨╡╨╜╨╜╤ï╨╡ ╨╝╨╡╤é╨░╨╗╨╗╤ï,Какие драгоценные металлы можно купить на бирже?,48,7
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╨┤╤Ç╨░╨│╨╛╤å╨╡╨╜╨╜╤ï╨╡ ╨╝╨╡╤é╨░╨╗╨╗╤ï,Как купить золото и серебро в Т⁠-⁠Инвестициях?,46,7
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╨┤╤Ç╨░╨│╨╛╤å╨╡╨╜╨╜╤ï╨╡ ╨╝╨╡╤é╨░╨╗╨╗╤ï,По какому курсу драгметаллы торгуются на бирже?,47,7
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╨┤╤Ç╨░╨│╨╛╤å╨╡╨╜╨╜╤ï╨╡ ╨╝╨╡╤é╨░╨╗╨╗╤ï,Какие плюсы и минусы у инвестиций в драгоценные металлы?,56,9
╨Ü╨░╨║ ╨┐╨╛╨║╤â╨┐╨░╤é╤î ╨╕ ╨┐╤Ç╨╛╨┤╨░╨▓╨░╤é╤î ╨┤╤Ç╨░╨│╨╛╤å╨╡╨╜╨╜╤ï╨╡ ╨╝╨╡╤é╨░╨╗╨╗╤ï,Какая комиссия за покупку драгоценных металлов?,47,6
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,Что такое маржинальная торговля и как она работает?,51,8
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,Какие преимущества дает маржинальная торговля?,46,5
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,Как технически выглядит сделка в лонг с плечом?,47,8
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,Как технически выглядит сделка в шорт?,38,6
╨ù╨░╤ç╨╡╨╝ ╨╜╤â╨╢╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,Какие комиссии и тарифы применяются при маржинальной торговле?,62,8
╨Ü╨╛╨╜╨▓╨╡╤Ç╤é╨╕╤Ç╤â╨╡╨╝╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Что такое конвертируемая облигация?,35,4
╨Ü╨╛╨╜╨▓╨╡╤Ç╤é╨╕╤Ç╤â╨╡╨╝╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Какие риски связаны с конвертируемыми облигациями?,50,6
╨Ü╨╛╨╜╨▓╨╡╤Ç╤é╨╕╤Ç╤â╨╡╨╝╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Как рассчитывается коэффициент (курс) конвертации?,50,5
╨Ü╨╛╨╜╨▓╨╡╤Ç╤é╨╕╤Ç╤â╨╡╨╝╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Как рассчитать доход или убыток при конвертации облигации?,58,8
╨Ü╨╛╨╜╨▓╨╡╤Ç╤é╨╕╤Ç╤â╨╡╨╝╤ï╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Почему компании выпускают конвертируемые облигации?,51,5
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Что такое облигации и как они работают?,39,7
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Какие виды облигаций существуют на российском фондовом рынке?,61,8
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,На что нужно обратить внимание при выборе облигаций?,52,8
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Что такое ипотечные облигации?,30,4
╨º╤é╨╛ ╤é╨░╨║╨╛╨╡ ╨╛╨▒╨╗╨╕╨│╨░╤å╨╕╨╕,Что такое субординированные облигации и какие риски они несут?,62,9
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Что такое брокерский счет и зачем он нужен?**,47,8
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Как пополнить брокерский счет?**,34,4
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Можно ли автоматически пополнять брокерский счет?**,53,6
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,"**Что делать, если на брокерском счете образовался минус?**",59,8
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨▒╨╕╤Ç╨╢╨╡,**Какие ценные бумаги и валюты можно купить на брокерский счет?**,65,10
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╕╤ü╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Как подключить портфельное инвестирование в приложении Т-Инвестиций?**,72,7
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╕╤ü╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Почему бумаги покупаются в равных долях?**,44,6
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╕╤ü╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Почему вместо акций или облигаций на счет купили фонды?**,59,9
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╕╤ü╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Почему на счете долго ничего не происходит?**,47,7
╨Ü╨░╨║ ╨┐╨╛╨┤╨║╨╗╤Ä╤ç╨╕╤é╤î ╨╕ ╨╕╤ü╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,"**Как понять, когда пришло время поменять стратегию и перенастроить параметры портфельного инвестирования?**",108,12
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Что такое маржинальная торговля и как она работает?**,55,8
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Как подключить или отключить маржинальную торговлю в Т‑Инвестициях?**,71,8
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Какие комиссии взимаются за маржинальную торговлю?**,54,6
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨░ ╨╝╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Какие термины нужно знать перед началом маржинальной торговли?**,66,8
╨æ╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Что такое брокерский счет и для чего он нужен?**,50,9
╨æ╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как открыть брокерский счет?**,32,4
╨æ╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие комиссии и налоги нужно учитывать при использовании брокерского счета?**,80,10
╨æ╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Как вывести деньги с брокерского счета?**,43,6
╨æ╤Ç╨╛╨║╨╡╤Ç╤ü╨║╨╕╨╕╠å ╤ü╤ç╨╡╤é,**Какие инструменты можно покупать и продавать на брокерском счете?**,69,9
╨Æ╨╛╨┐╤Ç╨╛╤ü╤ï ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Какие налоги удерживаются автоматически брокером при инвестициях в ценные бумаги?**,85,10
╨Æ╨╛╨┐╤Ç╨╛╤ü╤ï ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Какие налоги нужно платить самостоятельно при выводе денег с брокерского счета?**,83,11
╨Æ╨╛╨┐╤Ç╨╛╤ü╤ï ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Какие особенности налогообложения ИИС (индивидуального инвестиционного счета)?**,82,7
╨Æ╨╛╨┐╤Ç╨╛╤ü╤ï ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Как правильно заполнить декларацию 3-НДФЛ по инвестициям?**,61,7
╨Æ╨╛╨┐╤Ç╨╛╤ü╤ï ╨╜╨░╨╗╨╛╨│╨╛╨╛╨▒╨╗╨╛╨╢╨╡╨╜╨╕╤Å ╨┤╨╗╤Å ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨╛╨▓,**Какие документы нужны для подачи декларации 3-НДФЛ по инвестициям?**,70,9
╨Ü╨░╨║ ╤ü╨║╨░╤ç╨░╤é╤î ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╨┐╨╛╨┤╨░╤ç╨╕ ╨▓ ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╡ ╨╛╤Ç╨│╨░╨╜╤ï ╨╕ ╨╜╨╡ ╤é╨╛╨╗╤î╨║╨╛,Как скачать документы от Т⁠-⁠Инвестиций в личном кабинете на сайте tbank.ru?,76,11
╨Ü╨░╨║ ╤ü╨║╨░╤ç╨░╤é╤î ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╨┐╨╛╨┤╨░╤ç╨╕ ╨▓ ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╡ ╨╛╤Ç╨│╨░╨╜╤ï ╨╕ ╨╜╨╡ ╤é╨╛╨╗╤î╨║╨╛,Как скачать справку о доходах 2⁠-⁠НДФЛ из личного кабинета налогоплательщика?,77,10
╨Ü╨░╨║ ╤ü╨║╨░╤ç╨░╤é╤î ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╨┐╨╛╨┤╨░╤ç╨╕ ╨▓ ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╡ ╨╛╤Ç╨│╨░╨╜╤ï ╨╕ ╨╜╨╡ ╤é╨╛╨╗╤î╨║╨╛,Как скачать ранее поданную декларацию 3⁠-⁠НДФЛ из личного кабинета налогоплательщика?,85,10
╨Ü╨░╨║ ╤ü╨║╨░╤ç╨░╤é╤î ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╨┐╨╛╨┤╨░╤ç╨╕ ╨▓ ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╡ ╨╛╤Ç╨│╨░╨╜╤ï ╨╕ ╨╜╨╡ ╤é╨╛╨╗╤î╨║╨╛,Какие документы можно скачать в личном кабинете Т⁠-⁠Инвестиций?,63,8
╨Ü╨░╨║ ╤ü╨║╨░╤ç╨░╤é╤î ╨┤╨╛╨║╤â╨╝╨╡╨╜╤é╤ï ╨┤╨╗╤Å ╨┐╨╛╨┤╨░╤ç╨╕ ╨▓ ╨╜╨░╨╗╨╛╨│╨╛╨▓╤ï╨╡ ╨╛╤Ç╨│╨░╨╜╤ï ╨╕ ╨╜╨╡ ╤é╨╛╨╗╤î╨║╨╛,Как заказать оригинал документа от Т⁠-⁠Инвестиций?,50,6
╨í╨╛╨▓╨╡╤é╤ï ╨╜╨░╤ç╨╕╨╜╨░╤Ä╤ë╨╕╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░╨╝,Как начать инвестировать с минимальными вложениями?,51,6
╨í╨╛╨▓╨╡╤é╤ï ╨╜╨░╤ç╨╕╨╜╨░╤Ä╤ë╨╕╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░╨╝,Какие инструменты доступны начинающим инвесторам?,49,5
╨í╨╛╨▓╨╡╤é╤ï ╨╜╨░╤ç╨╕╨╜╨░╤Ä╤ë╨╕╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░╨╝,Как выбрать подходящий инвестиционный портфель?,47,5
╨í╨╛╨▓╨╡╤é╤ï ╨╜╨░╤ç╨╕╨╜╨░╤Ä╤ë╨╕╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░╨╝,Как избежать манипуляций на рынке ценных бумаг?,47,7
╨í╨╛╨▓╨╡╤é╤ï ╨╜╨░╤ç╨╕╨╜╨░╤Ä╤ë╨╕╨╝ ╨╕╨╜╨▓╨╡╤ü╤é╨╛╤Ç╨░╨╝,"Как понять, когда пора покупать или продавать ценные бумаги?",60,9
╨Æ╨╜╨╡╨▒╨╕╤Ç╨╢╨╡╨▓╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Какие российские акции без листинга можно торговать в Т‑Банке?**,66,9
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Что такое маржинальная торговля и как она работает?**,55,8
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Какие риски связаны с маржинальной торговлей?**,49,6
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Как работает сделка в лонг при маржинальной торговле?**,57,8
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Как работает сделка в шорт при маржинальной торговле?**,57,8
╨£╨░╤Ç╨╢╨╕╨╜╨░╨╗╤î╨╜╨░╤Å ╤é╨╛╤Ç╨│╨╛╨▓╨╗╤Å,**Что такое маржин-колл и как он влияет на инвестора?**,55,9
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨╛ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Что такое портфельное инвестирование и как оно работает в Т-Инвестициях?**,76,10
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨╛ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Какие преимущества портфельного инвестирования в Т-Инвестициях?**,67,6
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨╛ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Какие комиссии взимаются за портфельное инвестирование в Т-Инвестициях?**,75,8
╨Ü╨░╨║ ╤â╤ü╤é╤Ç╨╛╨╡╨╜╨╛ ╨┐╨╛╤Ç╤é╤ä╨╡╨╗╤î╨╜╨╛╨╡ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤Ç╨╛╨▓╨░╨╜╨╕╨╡,**Как происходит ребалансировка портфеля в портфельном инвестировании?**,72,7
"╨ƒ╨╛╨│╨░╤ê╨╡╨╜╨╕╨╡ ╤ç╨░╤ü╤é╨╕ ╨┐╨░╨╡╨▓ TSPX, TECH, TIPO, TBIO","**Почему управляющая компания «Т-Капитал» обязана погасить часть паев фондов TSPX, TECH, TIPO и TBIO?**",103,14
"╨ƒ╨╛╨│╨░╤ê╨╡╨╜╨╕╨╡ ╤ç╨░╤ü╤é╨╕ ╨┐╨░╨╡╨▓ TSPX, TECH, TIPO, TBIO",**Как рассчитывается сумма выплаты при частичном погашении паев?**,66,8
"╨ƒ╨╛╨│╨░╤ê╨╡╨╜╨╕╨╡ ╤ç╨░╤ü╤é╨╕ ╨┐╨░╨╡╨▓ TSPX, TECH, TIPO, TBIO","**Почему расчетная стоимость паев фондов TSPX, TECH, TIPO и TBIO так мала (0,0011 $, 0,0008 $, 0,0008 $ и 0,0006 $ соответственно)?**",133,22
"╨ƒ╨╛╨│╨░╤ê╨╡╨╜╨╕╨╡ ╤ç╨░╤ü╤é╨╕ ╨┐╨░╨╡╨▓ TSPX, TECH, TIPO, TBIO",**Как удерживается налог с суммы погашения паев?**,50,7
"╨ƒ╨╛╨│╨░╤ê╨╡╨╜╨╕╨╡ ╤ç╨░╤ü╤é╨╕ ╨┐╨░╨╡╨▓ TSPX, TECH, TIPO, TBIO","**Что делать, если после частичного погашения паев количество паев фонда уменьшилось, но доля иностранных активов в каждом пае увеличилась?**",141,19
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨╜╨░╨╗╨╛╨│ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╨╛",**Какие инвестиции облагаются налогом и когда нужно самостоятельно подавать декларацию 3-НДФЛ?**,96,11
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨╜╨░╨╗╨╛╨│ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╨╛",**Какие документы подтверждают доходы в пределах РФ и за пределами РФ при подаче декларации 3-НДФЛ?**,101,15
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨╜╨░╨╗╨╛╨│ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╨╛",**Как правильно заполнить декларацию 3-НДФЛ по инвестициям?**,61,7
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨╜╨░╨╗╨╛╨│ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╨╛",**Какие налоговые вычеты можно использовать при подаче декларации 3-НДФЛ по инвестициям?**,90,11
"╨í╨╗╤â╤ç╨░╨╕, ╨║╨╛╨│╨┤╨░ ╨╜╨░╨╗╨╛╨│ ╨╜╤â╨╢╨╜╨╛ ╨┐╨╗╨░╤é╨╕╤é╤î ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╨╛",**Какие сроки подачи и уплаты налога с инвестиций установлены законодательством РФ?**,85,11
